"","member_casual","weekday","month","number_of_rides","average_duration"
"114","member","Tue","Jun",39693,11.736764248944
"115","member","Tue","Jul",45832,13.2795594053645
"116","member","Tue","Aug",64348,12.7884238826382
"117","member","Tue","Sep",41614,11.6781007193092
"118","member","Tue","Oct",52625,11.5623106888361
"119","member","Tue","Nov",29959,10.3450293178455
"120","member","Tue","Dec",17961,10.2536746283615
"121","member","Wed","Jan",19875,10.065205870021
"122","member","Wed","Feb",16926,9.62510043719721
"123","member","Wed","Mar",31500,10.2909264550265
"124","member","Wed","Apr",33345,11.2470555305643
"125","member","Wed","May",52365,12.0507912409688
"126","member","Wed","Jun",46475,12.2526813699121
"127","member","Wed","Jul",41006,12.2184200686078
"128","member","Wed","Aug",63220,12.8219890857324
"129","member","Wed","Sep",46898,11.9799230955122
"130","member","Wed","Oct",42591,11.515249309322
"131","member","Wed","Nov",37077,10.7087390205968
"132","member","Wed","Dec",21440,10.3367669465174
"133","member","Thu","Jan",17902,9.49434793132983
"134","member","Thu","Feb",14465,9.62363982025579
"135","member","Thu","Mar",28179,9.70056898162935
"136","member","Thu","Apr",37285,11.4711483617183
"137","member","Thu","May",43306,12.1975723148447
"138","member","Thu","Jun",56199,12.2752374004282
"139","member","Thu","Jul",49592,12.6552192557939
"140","member","Thu","Aug",58931,12.5637183033265
"141","member","Thu","Sep",47835,11.7986453433678
"142","member","Thu","Oct",38271,11.2583174379208
"143","member","Thu","Nov",38983,10.7947596815706
"144","member","Thu","Dec",21707,11.0188994333625
"145","member","Fri","Jan",15761,10.130081636106
"146","member","Fri","Feb",13641,9.87601471055397
"147","member","Fri","Mar",22235,9.70579491792219
"148","member","Fri","Apr",32925,11.4375261958998
"149","member","Fri","May",35219,12.2376487123428
"150","member","Fri","Jun",55482,12.8418787474616
"151","member","Fri","Jul",44016,12.9415311098994
"152","member","Fri","Aug",47772,13.8528042926121
"153","member","Fri","Sep",53515,12.7442542589305
"154","member","Fri","Oct",32412,11.2995922292155
"155","member","Fri","Nov",25593,10.6045025332448
"156","member","Fri","Dec",21933,10.9619211538169
"157","member","Sat","Jan",11323,10.4085107009332
"158","member","Sat","Feb",13319,11.8258002352529
"159","member","Sat","Mar",12713,11.0290555599255
"160","member","Sat","Apr",29947,13.0058013601808
"161","member","Sat","May",32453,14.0752863114864
"162","member","Sat","Jun",44515,15.1184611928563
"163","member","Sat","Jul",48368,14.4833674467968
"164","member","Sat","Aug",39917,14.875634441466
"165","member","Sat","Sep",51790,14.1081183626183
"166","member","Sat","Oct",26528,12.3050801668677
"167","member","Sat","Nov",22704,12.6296819943622
"168","member","Sat","Dec",17065,11.1182371325325
